CustomerID,SimilarCustomerID,SimilarityScore
1       C0001             C0103           0.9959
2       C0001             C0069           0.9833
3       C0002             C0029           0.9998
4       C0002             C0031           0.9990
5       C0002             C0077           0.9939
6       C0003             C0176           0.8964
7       C0003             C0027           0.8694
8       C0003             C0010           0.8256
9       C0004             C0075           0.9978
10      C0004             C0165           0.9945
11      C0004             C0113           0.9941
12      C0005             C0123           0.9998
13      C0005             C0131           0.9996
14      C0005             C0058           0.9996
15      C0006             C0079           0.9999
16      C0006             C0117           0.9897
17      C0006             C0196           0.9480
18      C0007             C0125           0.9980
19      C0007             C0140           0.9979
